Entidade Titular,Área Geográfica,Tipo de Estação,Indicativo de Chamada,Faixas de Frequência,Frequência de Emissão,Frequência de Receção,Canal,Tom de proteção,Local da Estação,Latitude,Longitude
Associação de Radioamadores do Distrito de Leiria,Portugal Continental,Estação repetidora de modulação analógica,CQ0UPM,"430 - 440 MHz
","439,0250 MHz
","431,4250 MHz
",RU722,"131,8 Hz",IM59NN,"39º 32' 57"" ,700 N","08º 52' 00"" ,000 W"
Associação de Radioamadores do Distrito de Leiria,Portugal Continental,Estação repetidora de modulação analógica,CQ0VCD,"144 - 146 MHz
","145,6125 MHz
","145,0125 MHz
",RV49,"74,4 Hz",IM59NN,"39º 32' 57"" ,810 N","08º 52' 02"" ,320 W"
Associação de Radioamadores do Distrito de Leiria,Portugal Continental,Estação repetidora de modulação analógica,CQ0UMT,"430 - 440 MHz
","438,6500 MHz
","431,0500 MHz
",RU692,"114,8 Hz",IM67BL,"37º 29' 35"" ,450 N","07º 53' 58"" ,730 W"
Associação de Radioamadores do Distrito de Leiria,Portugal Continental,Estação repetidora de modulação analógica,CQ0UCD,"430 - 440 MHz
","438,7250 MHz
","431,1250 MHz
",RU698,"131,8 Hz",IM59NN,"39º 32' 57"" ,810 N","08º 52' 02"" ,320 W"
Associação de Radioamadores do Distrito de Leiria,Portugal Continental,Estação repetidora de modulação analógica,CQ0ULR,"430 - 440 MHz
","439,2500 MHz
","431,6500 MHz
",RU740,"131,8 Hz",IM59NN,"39º 32' 57"" ,610 N","08º 52' 00"" ,100 W"
Associação de Radioamadores do Distrito de Leiria,Portugal Continental,Estação repetidora de modulação analógica,CQ0UAB,"430 - 440 MHz
","438,8000 MHz
","431,2000 MHz
",RU704,"131,8 Hz",IM59RP,"39º 38' 39"" ,350 N","08º 31' 20"" ,150 W"
Associação de Radioamadores do Distrito de Leiria,Portugal Continental,Estação repetidora de modulação analógica,CQ0UTRZ,"430 - 440 MHz
","439,1750 MHz
","431,5750 MHz
",RU734,123 Hz,IN50TT,"40º 48' 08"" ,930 N","08º 22' 10"" ,098 W"
Associação de Radioamadores do Litoral Alentejano,Portugal Continental,Estação repetidora de modulação analógica,CQ0VARB,"144 - 146 MHz
","145,7375 MHz
","145,1375 MHz
",RV59,"74,4 Hz",IM58ML,"38º 29' 33"" ,410 N","08º 57' 43"" ,390 W"
Associação de Radioamadores do Litoral Alentejano,Portugal Continental,Estação repetidora de modulação analógica,CQ0VSTC,"144 - 146 MHz
","145,7000 MHz
","145,1000 MHz
",RV56,"74,4 Hz",IM57PX,"37º 59' 19"" ,630 N","08º 41' 31"" ,890 W"
Associação de Radioamadores do Litoral Alentejano,Portugal Continental,Estação repetidora de modulação analógica,CQ0UARB,"430 - 440 MHz
","439,4000 MHz
","431,8000 MHz
",RU752,"74,4 Hz",IM58ML,"38º 29' 33"" ,410 N","08º 57' 43"" ,390 W"
Associação de Radioamadores do Litoral Alentejano,Portugal Continental,Estação repetidora de modulação analógica,CQ0USTC,"430 - 440 MHz
","438,9250 MHz
","431,3250 MHz
",RU714,"82,5 Hz",IM57PX,"37º 59' 19"" ,630 N","08º 41' 31"" ,890 W"
Associação de Radioamadores do Minho,Portugal Continental,Estação repetidora de modulação analógica,CQ0UGMR,"430 - 440 MHz
","439,1000 MHz
","431,5000 MHz
",RU728,67 Hz,IN51UK,"41º 25' 43"" ,000 N","08º 16' 08"" ,000 W"
